xyz,Country,ISO3,Year,temperature
219,Argentina,ARG,2015,14.96213
220,Armenia,ARM,2015,8.554834167
221,Aruba,ABW,2015,28.92668333
222,Australia,AUS,2015,22.29619167
223,Austria,AUT,2015,8.170463333
224,Azerbaijan,AZE,2015,13.12689833
225,Bahrain,BHR,2015,28.73196667
226,Bangladesh,BGD,2015,24.88594167
227,Barbados,BRB,2015,27.03393333
228,Belarus,BLR,2015,8.7413425
229,Belgium,BEL,2015,11.08260333
230,Belize,BLZ,2015,26.23716667
231,Benin,BEN,2015,28.20736667
232,Bermuda,BMU,2015,21.96666667
233,Bhutan,BTN,2015,12.10783083
234,Bolivia,BOL,2015,21.45810833
235,Bosnia&amp;Herzegovina,BIH,2015,11.3568625
236,Botswana,BWA,2015,22.85541667
237,Brazil,BRA,2015,26.16216667
238,BritishVirginIs.,VGB,2015,26.45656667
239,Brunei,BRN,2015,26.02230833
240,Bulgaria,BGR,2015,11.95888417
241,BurkinaFaso,BFA,2015,28.926075
242,Burundi,BDI,2015,20.77351667
243,Cambodia,KHM,2015,27.889375
244,Cameroon,CMR,2015,25.08194167
245,Canada,CAN,2015,-5.953935833
246,CapeVerde,CPV,2015,23.50380833
247,CaymanIs.,CYM,2015,28.2
248,CentralAfricanRepublic,CAF,2015,25.50868333
249,Chad,TCD,2015,27.65585833
250,Chile,CHL,2015,8.8212575
251,China,CHN,2015,7.48339
252,CocosIs.,CCK,2015,27.325
253,Colombia,COL,2015,25.40840833
254,Comoros,COM,2015,26.08208333
255,Congo,COG,2015,25.005175
256,CookIs.,COK,2015,24.6604
257,CostaRica,CRI,2015,25.25764167
258,Coted'Ivoire,CIV,2015,26.97683333
259,Croatia,HRV,2015,12.27641333
260,Cuba,CUB,2015,26.61181667
261,Cyprus,CYP,2015,19.72245
262,CzechRepublic,CZE,2015,9.902455
263,Denmark,DNK,2015,9.208226667
264,Djibouti,DJI,2015,29.057375
265,Dominica,DMA,2015,25.27931667
266,DominicanRepublic,DOM,2015,25.070525
267,Ecuador,ECU,2015,22.49685833
268,Egypt,EGY,2015,23.53470833
269,ElSalvador,SLV,2015,24.93931667
270,EquatorialGuinea,GNQ,2015,25.09518333
271,Eritrea,ERI,2015,27.6559
272,Estonia,EST,2015,7.351688333
273,Ethiopia,ETH,2015,23.8428
274,FaroeIs.,FRO,2015,6.813920833
275,Fiji,FJI,2015,24.20115833
276,Finland,FIN,2015,3.524423333
277,France,FRA,2015,12.16435167
278,FrenchPolynesia,PYF,2015,25.06936667
279,Gabon,GAB,2015,25.46733333
280,Georgia,GEO,2015,7.61412
281,Germany,DEU,2015,10.27199667
282,Ghana,GHA,2015,27.97025
283,Gibraltar,GIB,2015,17.97478333
284,Greece,GRC,2015,14.55014667
285,Greenland,GRL,2015,-17.13314167
286,Grenada,GRD,2015,27.55151667
287,Guam,GUM,2015,27.72925833
288,Guatemala,GTM,2015,24.54255833
289,Guinea,GIN,2015,26.449775
290,Guinea-Bissau,GNB,2015,27.64031667
291,Guyana,GUY,2015,26.622075
292,Haiti,HTI,2015,25.74096667
293,Honduras,HND,2015,24.51503333
294,Hungary,HUN,2015,11.88976167
295,Iceland,ISL,2015,1.922285833
296,India,IND,2015,24.61968333
297,Indonesia,IDN,2015,26.49481667
298,Iran,IRN,2015,18.4800725
299,Iraq,IRQ,2015,23.00519917
300,Ireland,IRL,2015,9.514744167
301,Israel,ISR,2015,20.65015833
302,Italy,ITA,2015,13.3164125
303,Jamaica,JAM,2015,26.06650833
304,Japan,JPN,2015,11.8047175
305,Jordan,JOR,2015,19.83026417
306,Kazakhstan,KAZ,2015,7.622869167
307,Kenya,KEN,2015,25.53763333
308,Kiribati,KIR,2015,27.50574167
309,Kuwait,KWT,2015,26.80315
310,Kyrgyzstan,KGZ,2015,3.839105
311,Laos,LAO,2015,24.43898333
312,Latvia,LVA,2015,7.899733333
313,Lebanon,LBN,2015,16.84996667
314,Lesotho,LSO,2015,14.10301167
315,Liberia,LBR,2015,25.8991
316,Libya,LBY,2015,22.87486667
317,Liechtenstein,LIE,2015,4.564768333
318,Lithuania,LTU,2015,8.4849475
319,Luxembourg,LUX,2015,10.55887417
320,MacaoSAR,China,2015,23.54815
321,Macedonia,MKD,2015,11.06696583
322,Madagascar,MDG,2015,23.00374167
323,Malawi,MWI,2015,22.80566667
324,Malaysia,MYS,2015,26.07324167
325,Maldives,MDV,2015,28.51666667
326,Mali,MLI,2015,29.0292
327,Malta,MLT,2015,19.86121667
328,MarshallIs.,MHL,2015,28.2075
329,Mauritania,MRT,2015,28.65173333
330,Mauritius,MUS,2015,23.9512
